id,职位,城市,学历,工作年限,薪资,第一标签,第二标签,第三标签,技能库,公司名称,融资阶段,公司规模
5523125,数据分析师（数据科学方向）,深圳,本科,1-3年,10k-20k,产品|需求|项目类,数据分析,数据分析,[],一面数据,A轮,50-150人
5398291,数据分析师,广州,本科,1-3年,8k-12k,产品|需求|项目类,数据分析,数据分析,"['数据运营', '数据分析', 'SQL', 'SPSS']",泛华金融控股集团,上市公司,500-2000人
2353221,数据分析员,西安,大专,1-3年,4k-8k,产品|需求|项目类,数据分析,数据分析,[],美国亚米网,A轮,50-150人
5964813,数据分析师,福州,大专,1-3年,6k-10k,产品|需求|项目类,数据分析,数据分析,['数据分析'],软帝联合,未融资,500-2000人
5916429,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['SQL', 'SPSS']",玖富集团,D轮及以上,2000人以上
5385860,数据分析,广州,本科,1-3年,8k-10k,产品|需求|项目类,数据分析,数据分析,[],百事通,上市公司,500-2000人
5592108,数据分析员,深圳,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['数据运营', '数据分析', 'SPSS', 'DBA']",路通网络,不需要融资,500-2000人
5922501,数据分析师,上海,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', '数据分析']",轻轻家教,D轮及以上,2000人以上
5937472,数据分析师,北京,本科,1-3年,6k-12k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据处理']",有大家,天使轮,15-50人
5662282,大数据分析师,北京,本科,3-5年,20k-40k,开发|测试|运维类,数据开发,数据分析,"['Spark', 'Hive', '数据分析']",居理新房,B轮,500-2000人
5587569,数据分析师,广州,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,['数据分析'],茉莉传媒,不需要融资,150-500人
3352445,数据分析（BI）,上海,本科,1-3年,10k-14k,开发|测试|运维类,数据开发,数据分析,"['Hive', '数据分析']",海万科技,不需要融资,500-2000人
5780722,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', 'SPSS', '数据分析']",嗨学网,D轮及以上,500-2000人
4765174,大数据分析师,上海,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",创略科技,B轮,150-500人
5780722,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', 'SPSS', '数据分析']",嗨学网,D轮及以上,500-2000人
4765174,大数据分析师,上海,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",创略科技,B轮,150-500人
5388108,数据分析师,上海,本科,1-3年,15k-20k,产品|需求|项目类,数据分析,数据分析,"['BI', '可视化', '数据分析', 'SQL']",途虎养车网,D轮及以上,2000人以上
5801014,数据分析师,广州,本科,5-10年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],卓越教育集团,不需要融资,2000人以上
5969029,数据分析师,上海,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS']",七牛云,D轮及以上,150-500人
5742734,数据分析岗,深圳,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,['数据分析'],人人聚财,A轮,2000人以上
5155283,数据分析师（贷后）,北京,本科,3-5年,25k-40k,金融类,互联网金融,风控,"['风控', '分析师']",人人贷,A轮,2000人以上
5785645,032281-数据分析岗,深圳,本科,1-3年,11k-20k,综合职能|高级管理,人力资源,其他人力资源,['人力资源'],平安产险,上市公司,2000人以上
5804640,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI']",还呗-智能信贷领先者,B轮,500-2000人
5523119,数据分析师（数据资产方向）,深圳,本科,1-3年,10k-20k,开发|测试|运维类,数据开发,数据分析,[],一面数据,A轮,50-150人
4024564,数据分析师,上海,本科,1-3年,8k-15k,开发|测试|运维类,数据开发,数据分析,['数据分析'],高登世德金融科技,A轮,50-150人
5897831,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', '商业', '数据分析']",联元智能科技,A轮,50-150人
5533861,数据分析师（会员营销）,广州,大专,3-5年,10k-15k,市场|商务类,市场|营销,商业数据分析,[],屈臣氏中国,不需要融资,2000人以上
5760257,数据分析师,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],PINTEC,上市公司,150-500人
5390760,数据分析师,广州,本科,1-3年,6k-10k,商业服务|专业服务,咨询|调研,情报信息分析人员,[],筷子科技,B轮,50-150人
2756905,数据分析师,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '商业', '数据库']",金山办公软件,上市公司,2000人以上
3345573,数据分析,上海,本科,3-5年,14k-18k,开发|测试|运维类,数据开发,数据分析,['Hive'],海万科技,不需要融资,500-2000人
5020913,数据分析师,上海,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', 'SQL', '数据库']",Datatist,A轮,50-150人
5929616,数据分析师-风控,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['可视化', '数据分析', '商业', 'SQL']",凡普金科,不需要融资,2000人以上
5936045,数据分析师,杭州,大专,3-5年,8k-10k,产品|需求|项目类,数据分析,数据分析,['数据分析'],脸脸,A轮,150-500人
5760999,数据分析师(J10156),上海,本科,1年以下,6k-10k,产品|需求|项目类,数据分析,商业,[],AdMaster,不需要融资,500-2000人
3403083,数据分析师（风控建模方向）,北京,硕士,1-3年,15k-30k,开发|测试|运维类,数据开发,数据分析,['数据分析'],中诚信征信,不需要融资,150-500人
5733985,数据分析师（评分卡）,深圳,本科,3-5年,12k-20k,金融类,互联网金融,分析师,"['风控', '策略设计', '分析师']",即有分期,D轮及以上,500-2000人
5614123,数据分析师-用户增长方向,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL']",微聚未来,不需要融资,500-2000人
5872258,00680-数据分析,杭州,不限,3-5年,10k-20k,开发|测试|运维类,数据开发,BI工程师,"['数据分析', '数据挖掘']",云集,上市公司,500-2000人
5580770,数据分析师,成都,本科,1-3年,8k-10k,产品|需求|项目类,数据分析,数据分析,['数据分析'],DataCastle,天使轮,15-50人
5719370,数据分析师,杭州,本科,不限,12k-24k,产品|需求|项目类,数据分析,数据分析,"['SPSS', '数据分析']",好衣库,B轮,150-500人
5781958,数据分析师（供应链）,北京,本科,5-10年,20k-30k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析']",联想集团,上市公司,2000人以上
5540455,数据分析师,广州,本科,1-3年,7k-10k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析']",巴图鲁公司,C轮,500-2000人
4477756,数据分析师,上海,本科,3-5年,10k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],盛付通,不需要融资,150-500人
5929577,数据分析师-增长,北京,本科,1-3年,15k-25k,开发|测试|运维类,数据开发,数据分析,"['ETL', '数据仓库', '数据分析', 'SQLServer']",凡普金科,不需要融资,2000人以上
5848694,数据分析-武汉,武汉,本科,5-10年,15k-30k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据处理', '数据挖掘']",深圳市丰巢科技有限公司,A轮,500-2000人
4151863,大数据分析师,北京,本科,不限,10k-20k,开发|测试|运维类,数据开发,数据分析,"['算法', '数据挖掘', '数据分析']",泛钛客,A轮,150-500人
5371833,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['可视化', 'SQL', '数据分析', '数据库']",鸿研物流,C轮,150-500人
5941650,数据分析师,北京,本科,1-3年,20k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营']",酷得少年,A轮,50-150人
5975583,数据分析师,上海,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,[],维信金融科技集团,上市公司,2000人以上
5885332,数据分析师,北京,本科,1-3年,13k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', 'SQL', '数据库']",蚂蚁短租,C轮,150-500人
5372143,数据分析师,武汉,大专,3-5年,6k-10k,产品|需求|项目类,数据分析,数据分析,"['SPSS', 'SQL', '数据分析', '数据运营']",优品财富管理有限公司,未融资,500-2000人
5524909,数据分析师（商品方向）,深圳,本科,3-5年,15k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '商业']",立创商城,A轮,150-500人
5927298,数据分析师,上海,本科,3-5年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '可视化', '数据运营']",乐元素游戏,不需要融资,500-2000人
5635541,数据分析师,北京,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,业务运营,['数据分析'],医联,D轮及以上,150-500人
5905232,数据分析师,上海,本科,3-5年,20k-35k,开发|测试|运维类,数据开发,数据分析,"['数据仓库', '数据分析']",星合金融科技,不需要融资,50-150人
5677709,（民航）数据分析师,上海,硕士,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['可视化', 'SPSS', '数据分析']",飞常准,不需要融资,500-2000人
5887362,数据分析师,上海,本科,5-10年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",上海小牛互娱智能科技有限公司,未融资,500-2000人
5456635,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI', '商业']",亚朵集团,不需要融资,2000人以上
5887362,数据分析师,上海,本科,5-10年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '数据分析']",上海小牛互娱智能科技有限公司,未融资,500-2000人
5456635,数据分析师,上海,本科,3-5年,20k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI', '商业']",亚朵集团,不需要融资,2000人以上
5151976,数据分析师,上海,不限,3-5年,10k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],艾天科技,不需要融资,15-50人
4265476,数据分析师,杭州,本科,3-5年,15k-25k,开发|测试|运维类,数据开发,数据分析,['数据分析'],光云科技,不需要融资,500-2000人
5518593,数据分析师(J10177),北京,本科,1-3年,10k-20k,金融类,互联网金融,分析师,"['风控', '分析师']",包银消费金融,不需要融资,150-500人
5690955,数据分析师（数据运营）,上海,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', '数据库']",驰骛科技ChiefClouds,A轮,50-150人
3803867,数据分析师,北京,本科,1-3年,10k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],她理财,A轮,50-150人
5037237,数据分析师,武汉,本科,1-3年,3k-6k,金融类,互联网金融,分析师,['分析师'],灯塔财经,不需要融资,50-150人
4910076,数据分析师,杭州,本科,1-3年,8k-15k,开发|测试|运维类,数据开发,BI工程师,['数据分析'],保险师 ・ 微易信息科技,B轮,150-500人
5420463,数据分析师,深圳,本科,3-5年,13k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],随手科技,C轮,500-2000人
5524923,数据分析师（用户）,深圳,不限,不限,6k-10k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据库']",立创商城,A轮,150-500人
5896736,数据分析师（数据产品方向）,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'SQL', '数据分析']",网信,不需要融资,500-2000人
5900608,数据分析师,上海,本科,3-5年,10k-15k,开发|测试|运维类,数据开发,数据分析,['数据分析'],旖美科技,A轮,150-500人
5820001,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,['数据分析'],ZRobot,未融资,50-150人
5935619,数据分析师,武汉,大专,1-3年,5k-8k,产品|需求|项目类,数据分析,数据分析,['数据分析'],去哪儿网,不需要融资,2000人以上
5409676,11124Z-数据分析工程师-云技术服务,深圳,本科,3-5年,20k-40k,开发|测试|运维类,数据开发,数据分析,"['Hadoop', 'Spark', '数据分析', '数据挖掘']",平安科技,不需要融资,2000人以上
4757404,数据分析师-深圳,深圳,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '可视化', '数据分析']",神策数据,C轮,150-500人
5959158,数据分析师,深圳,大专,3-5年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', '数据分析', '数据运营']",华策,未融资,50-150人
5622525,数据分析师,重庆,本科,1-3年,6k-12k,产品|需求|项目类,数据分析,数据分析,['数据分析'],赛迪信息,不需要融资,500-2000人
4112258,数据分析师,广州,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,"['可视化', '数据分析', 'SPSS']",DataStory,B轮,150-500人
5900692,数据分析师,北京,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据运营']",国美控股集团,不需要融资,2000人以上
5756488,数据分析师（零售行业）,北京,本科,5-10年,20k-40k,开发|测试|运维类,数据开发,数据分析,"['数据分析', 'MySQL']",高济医疗,不需要融资,150-500人
5960550,数据分析师,北京,本科,3-5年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据库']",百乘金科集团,上市公司,2000人以上
5906310,数据分析师,深圳,本科,3-5年,12k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL']",DJI大疆创新,未融资,2000人以上
5830151,数据分析 (MJ000141),南京,不限,1-3年,9k-14k,开发|测试|运维类,数据开发,数据分析,"['SQLServer', 'MySQL']",阿博茨科技,B轮,150-500人
4152103,大数据分析师（自然语言处理方向）,北京,本科,不限,10k-20k,开发|测试|运维类,数据开发,数据分析,"['NLP', '算法', '数据分析']",泛钛客,A轮,150-500人
5951660,数据分析师,厦门,本科,3-5年,10k-20k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据挖掘', 'MySQL']",点触科技,上市公司,150-500人
4153555,数据分析师,北京,本科,3-5年,15k-20k,产品|需求|项目类,数据分析,数据分析,[],彩讯股份,上市公司,500-2000人
5771368,数据分析-连信,上海,不限,1-3年,25k-35k,产品|需求|项目类,数据分析,数据分析,[],掌门集团,B轮,500-2000人
5969826,数据分析师,北京,本科,3-5年,20k-30k,产品|需求|项目类,数据分析,数据分析,['数据分析'],妙健康,C轮,150-500人
4756488,数据分析师-北京,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '可视化', '数据分析']",神策数据,C轮,150-500人
5970345,4721EM-智慧法律-数据分析岗,深圳,本科,3-5年,15k-30k,开发|测试|运维类,数据开发,数据挖掘,[],平安智慧城,不需要融资,2000人以上
5904186,数据分析师,北京,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,[],美团点评,上市公司,2000人以上
5800754,数据分析师（风险分析）,上海,本科,1-3年,13k-16k,开发|测试|运维类,数据开发,数据分析,['数据挖掘'],维信金融科技集团,上市公司,2000人以上
5698644,数据分析师,武汉,本科,1-3年,4k-7k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营']",长江云新媒体集团,未融资,150-500人
5960771,数据分析师,深圳,本科,1-3年,15k-20k,产品|需求|项目类,数据分析,数据分析,['数据分析'],金銮羊羊,未融资,50-150人
5672823,（高级）数据分析师,北京,大专,3-5年,14k-20k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析', 'SQL']",58到家,D轮及以上,2000人以上
5918327,数据分析师,上海,本科,1-3年,10k-20k,产品|需求|项目类,数据分析,数据分析,['数据分析'],返利网,C轮,500-2000人
4057574,数据分析师,北京,本科,5-10年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS']",造作,B轮,150-500人
5901301,数据分析师,上海,不限,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '可视化', '商业']",上海小牛互娱智能科技有限公司,未融资,500-2000人
5736785,数据分析师 (MJ000294),北京,不限,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'BI', '商业', '数据运营']",Keep,D轮及以上,500-2000人
5338478,数据分析师,上海,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['商业', 'BI', '可视化', '数据分析']",GeexFinance,A轮,150-500人
5845465,数据分析师,深圳,本科,5-10年,15k-25k,产品|需求|项目类,数据分析,数据分析,[],闻善科技,不需要融资,50-150人
5645002,数据分析师,深圳,本科,1-3年,9k-15k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析', '数据库']",极光,上市公司,500-2000人
5781438,数据分析师,深圳,本科,5-10年,10k-20k,产品|需求|项目类,数据分析,数据分析,['数据分析'],百果科技,B轮,150-500人
5645002,数据分析师,深圳,本科,1-3年,9k-15k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析', '数据库']",极光,上市公司,500-2000人
5781438,数据分析师,深圳,本科,5-10年,10k-20k,产品|需求|项目类,数据分析,数据分析,['数据分析'],百果科技,B轮,150-500人
5494133,数据分析师,广州,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,['数据分析'],蓝月亮,不需要融资,2000人以上
5959124,数据分析师 (MJ001006),上海,本科,3-5年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['商业', '数据分析', '增长黑客']",哔哩哔哩,上市公司,2000人以上
5021443,数据分析师,深圳,硕士,1-3年,10k-15k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",风变科技（深圳）有限公司,A轮,150-500人
4315150,数据分析师,上海,大专,不限,5k-10k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析']",申通快递,上市公司,2000人以上
4391610,数据分析师（智能出行方向）,北京,本科,1-3年,15k-25k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",嘀嗒出行,D轮及以上,150-500人
5656177,数据分析师,武汉,大专,1-3年,5k-8k,产品|需求|项目类,数据分析,业务运营,['数据分析'],小红书,D轮及以上,500-2000人
5775291,大数据分析师,天津,本科,1-3年,15k-20k,开发|测试|运维类,数据开发,数据分析,['数据分析'],星际空间（天津）科技发展有限公司,不需要融资,150-500人
3246596,数据分析师,北京,本科,3-5年,18k-25k,产品|需求|项目类,数据分析,数据分析,"['可视化', '数据分析', 'SPSS']",四达时代集团,上市公司,2000人以上
5850287,数据分析员,广州,本科,3-5年,7k-12k,市场|商务类,市场|营销,商业数据分析,"['行业分析', '市场竞争分析', '市场分析', '消费者分析']",健客网,B轮,500-2000人
4807455,数据分析,北京,本科,不限,10k-20k,开发|测试|运维类,数据开发,数据分析,[],瑞银信,不需要融资,2000人以上
5712371,数据科学-数据分析,上海,不限,不限,20k-40k,开发|测试|运维类,数据开发,数据分析,"['MySQL', '数据分析']",OYO,不需要融资,500-2000人
4584644,数据分析（实习）,广州,本科,不限,3k-4k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS']",赢商网,上市公司,150-500人
5439015,数据分析师,上海,本科,5-10年,25k-50k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', '数据库']",上海小牛互娱智能科技有限公司,未融资,500-2000人
4391587,数据分析师（风控方向）,北京,本科,1-3年,15k-25k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",嘀嗒出行,D轮及以上,150-500人
5922655,数据分析师,成都,不限,不限,15k-30k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据处理', '数据挖掘']",西瓜创客,A轮,150-500人
5701380,数据分析,成都,硕士,不限,12k-20k,产品|需求|项目类,数据分析,数据分析,[],XGATE讯格得,不需要融资,50-150人
5881188,数据分析师（用户行为分析） (MJ000598),上海,本科,3-5年,15k-25k,开发|测试|运维类,数据开发,数据分析,"['MySQL', 'ETL']",上海你我贷互联网金融信息服务,未融资,2000人以上
5327291,数据分析,上海,本科,1-3年,12k-20k,开发|测试|运维类,数据开发,数据分析,[],哈出行,D轮及以上,2000人以上
5822597,资深数据分析师,杭州,本科,3-5年,19k-28k,开发|测试|运维类,数据开发,数据分析,"['Hive', '数据分析']",酷家乐,D轮及以上,500-2000人
5452870,数据分析师,北京,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,['BI'],居理新房,B轮,500-2000人
3650471,数据分析师,上海,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析', 'SPSS']",前隆科技,B轮,500-2000人
5525274,数据分析师（上海）,上海,本科,1-3年,13k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],随手科技,C轮,500-2000人
5639625,数据分析师,北京,本科,1-3年,10k-20k,金融类,互联网金融,分析师,[],微聚未来,不需要融资,500-2000人
3973887,数据分析师-杭州-00400,杭州,本科,3-5年,10k-20k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",同盾科技,C轮,500-2000人
4823990,数据分析师/高级数据分析师,北京,本科,3-5年,15k-25k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",去哪儿网,不需要融资,2000人以上
5515756,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据库']",混沌大学,不需要融资,150-500人
2413373,数据分析师,天津,本科,3-5年,10k-15k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",神州商龙,上市公司,500-2000人
5512268,数据分析师,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],福佑卡车,D轮及以上,500-2000人
5512268,数据分析师,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],福佑卡车,D轮及以上,500-2000人
5792515,数据分析师,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析']",VIPKID,D轮及以上,2000人以上
5834821,数据分析,北京,大专,3-5年,30k-50k,产品|需求|项目类,数据分析,数据分析,['数据库'],北京复创时代科技有限公司,不需要融资,150-500人
5550881,数据分析师（汽车金融）,上海,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '商业', '数据运营']",2345.com,上市公司,500-2000人
5335113,数据分析师,上海,本科,1-3年,11k-16k,开发|测试|运维类,数据开发,BI工程师,"['ETL', 'DB2', '数据分析']",R2.ai,A轮,50-150人
5598888,数据运营/数据分析师,苏州,本科,3-5年,10k-20k,运营|编辑|客服类,运营,数据运营,"['运营', '数据分析', '产品运营', '效果跟踪']",瑞小云,不需要融资,15-50人
5416597,数据分析师 (MJ003207),上海,不限,不限,15k-25k,产品|需求|项目类,数据分析,数据分析,"['SPSS', 'SQL', '数据库', '数据分析']",哈出行,D轮及以上,2000人以上
5167551,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL', '数据库']",混沌大学,不需要融资,150-500人
5304999,数据分析师,上海,本科,3-5年,20k-30k,开发|测试|运维类,数据开发,数据分析,['数据分析'],虎扑,D轮及以上,150-500人
5265178,数据分析师,广州,本科,3-5年,7k-12k,运营|编辑|客服类,运营,数据运营,"['数据分析', '运营', '用户增长']",联邦车网,不需要融资,150-500人
3968931,数据分析师,上海,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析']",GeexFinance,A轮,150-500人
5873951,数据分析,北京,本科,1-3年,8k-12k,产品|需求|项目类,数据分析,数据分析,"['BI', '商业', '数据运营']",医联,D轮及以上,150-500人
5823626,数据分析师,深圳,本科,3-5年,20k-30k,产品|需求|项目类,数据分析,数据分析,['数据分析'],每日优鲜,C轮,500-2000人
5327234,商业产品实习生-数据分析,北京,本科,不限,4k-5k,产品|需求|项目类,产品经理,其他产品经理,['产品经理'],字节跳动,C轮,2000人以上
5754290,高级风险建模 / 数据分析师,深圳,本科,1-3年,16k-30k,开发|测试|运维类,数据开发,数据分析,['数据分析'],腾梭科技,A轮,150-500人
